be was/were been
beat beat beaten
become became become
begin began begun
bend bent bent
bet bet bet
bite bit bitten
blow blew blown
break broke broken
bring brought brought
build built built
burst burst burst
buy bought bought
can could (been_able)
catch caught caught
Choose chose chosen
come came come
cost cost cost
cut cut cut
deal dealt dealt
dig dug dug
do did done
draw drew drawn
drink drank drunk
drive drove driven
eat ate eaten
fall fell fallen
feed fed fed
feel felt falt
fight fought fought
find found found
fly flew flown
forget forgot forgotten
forgive forgave forgiven
freeze froze frozen
get got gotten
give gave given
go went gone/been
grow grew grown
hang hung/hanged hung/hanged
have had had
hear heard heard
hide hld hidden
hit hit hit
hold held held
hurt hurt hurt
keep kept kept
know knew known
lay laid laid
lead ledled
leave left left
tend lent lent
let let let
lie lay lain
lose lost lost
make made made
mean meant meant
meet met met
must hail_to (had to)
Pay paid paid
put put put
read read read
ride rode ridden
ring rang rung
rise rose risen
run ran run
Say said said
see saw seen
sell sold sold
send sent sent
set set set
shake shook shaken
shine shone shone
Shoot shot shot
show showed shown
shrink shrank shrunk
shut shut shut
sing sang sung
Sink sank sunk
Sit sat sat
sleep slept slept
slide slid slid
speak spoke spoken
spend spent spent
split split split
spread spread spread
stand stood stood
Steal stole stolen
Stick stuck stuck
Swear swore sworn
swell swelled swollen/swelled
swim swam swum
take took taken
teach taught taught
tear tore torn
tell told told
think thought thought
throw threw thrown
understand understood understood
wake woke woken
wear wore worn
win won won
write wrote written
